OTU;Vigne_2023_106;Vigne_2023_52;Vigne_2023_150;Vigne_2023_346;Vigne_2023_90;Vigne_2023_329;Vigne_2023_107;Vigne_2023_26;Vigne_2023_54;Vigne_2023_337;Vigne_2023_21;Vigne_2023_345;Vigne_2023_334;Vigne_2023_97;Vigne_2023_159;Vigne_2023_18;Vigne_2023_92;Vigne_2023_84;Vigne_2023_339;Vigne_2023_15;Vigne_2023_37;Vigne_2023_115;Vigne_2023_83;Vigne_2023_57;Vigne_2023_343;Vigne_2023_127;Vigne_2023_154;Vigne_2023_148;Vigne_2023_116;Vigne_2023_147;Vigne_2023_153;Vigne_2023_105;Vigne_2023_9;Vigne_2023_128;Vigne_2023_36;Vigne_2023_332;Vigne_2023_50;Vigne_2023_89;Vigne_2023_3;Vigne_2023_78;Vigne_2023_86;Vigne_2023_123;Vigne_2023_130;Vigne_2023_344;Vigne_2023_81;Vigne_2023_66;Vigne_2023_39;Vigne_2023_12;Vigne_2023_156;Vigne_2023_328;Vigne_2023_124;Vigne_2023_20;Vigne_2023_95;Vigne_2023_110;Vigne_2023_144;Vigne_2023_134;Vigne_2023_70;Vigne_2023_141;Vigne_2023_55;Vigne_2023_152;Vigne_2023_91;Vigne_2023_80;Vigne_2023_114;Vigne_2023_118;Vigne_2023_85;Vigne_2023_158;Vigne_2023_23;Vigne_2023_29;Vigne_2023_98;Vigne_2023_94;Vigne_2023_168;Vigne_2023_61;Vigne_2023_166;Vigne_2023_340;Vigne_2023_131;Vigne_2023_17;Vigne_2023_10;Vigne_2023_48;Vigne_2023_136;Vigne_2023_102;Vigne_2023_2;Vigne_2023_327;Vigne_2023_16;Vigne_2023_88;Vigne_2023_34;Vigne_2023_77;Vigne_2023_330;Vigne_2023_341;Vigne_2023_103;Vigne_2023_117;Vigne_2023_59;Vigne_2023_338;Vigne_2023_347;Vigne_2023_63;Vigne_2023_146;Vigne_2023_28;Vigne_2023_125;Vigne_2023_24;Vigne_2023_35;Vigne_2023_138;Vigne_2023_82;Vigne_2023_101;Vigne_2023_45;Vigne_2023_71;Vigne_2023_163;Vigne_2023_139;Vigne_2023_Temoin_1;Vigne_2023_104;Vigne_2023_73;Vigne_2023_68;Vigne_2023_38;Vigne_2023_42;Vigne_2023_22;Vigne_2023_5;Vigne_2023_108;Vigne_2023_19;Vigne_2023_40;Vigne_2023_162;Vigne_2023_126;Vigne_2023_145;Vigne_2023_7;Vigne_2023_112;Vigne_2023_27;Vigne_2023_133;Vigne_2023_335;Vigne_2023_331;Vigne_2023_1;Vigne_2023_333;Vigne_2023_160;Vigne_2023_142;Vigne_2023_135;Vigne_2023_79;Vigne_2023_47;Vigne_2023_336;Vigne_2023_119;Vigne_2023_67;Vigne_2023_Temoin_2;Vigne_2023_13;Vigne_2023_6;Vigne_2023_49;Vigne_2023_167;Vigne_2023_46;Vigne_2023_155;Vigne_2023_25;Vigne_2023_149;Vigne_2023_151;Vigne_2023_65;Vigne_2023_44;Vigne_2023_109;Vigne_2023_14;Vigne_2023_41;Vigne_2023_74;Vigne_2023_30;Vigne_2023_100;Vigne_2023_87;Vigne_2023_137;Vigne_2023_62;Vigne_2023_121;Vigne_2023_72;Vigne_2023_111;Vigne_2023_53;Vigne_2023_31;Vigne_2023_64;Vigne_2023_120;Vigne_2023_4;Vigne_2023_122;Vigne_2023_140;Vigne_2023_96;Vigne_2023_43;Vigne_2023_93;Vigne_2023_143;Vigne_2023_157;Vigne_2023_99;Vigne_2023_32;Vigne_2023_165;Vigne_2023_58;Vigne_2023_33;Vigne_2023_69;Vigne_2023_164;Vigne_2023_51;Vigne_2023_60;Vigne_2023_75;Vigne_2023_76;Vigne_2023_113;Vigne_2023_8;Vigne_2023_129;Vigne_2023_161;Vigne_2023_132;Vigne_2023_34300;Vigne_2023_342;Vigne_2023_11;Vigne_2023_56;TotalCount;MappingConfidence
HQ643388.2;8632;0;0;0;1;0;0;0;0;1;3;0;0;0;2;12;0;9;0;10;5;50;2;0;0;1;1;0;0;5;0;0;0;0;0;1;1;0;0;34;0;2;0;1;0;0;1;16;0;0;0;5;0;0;23;0;1;0;0;1;1;17;38;1;8;0;0;0;2;2;4;21;10;0;6;3;0;0;54;0;0;0;2;0;3;1;0;0;1;0;0;0;0;36;0;0;0;1;1;1;14;0;0;3;0;49;0;1;106;0;0;1;2;0;10;0;0;3;1;0;17;0;0;0;0;0;0;0;7;0;0;0;0;0;9;0;0;23;34;0;0;1;0;17;1;0;31;0;4;0;0;23;26;1;17;1;0;0;12;1;0;0;3;81;1;0;0;1;6;0;91;0;0;35;0;0;2;0;0;1;11;8;9;1;77;1;0;6;0;0;4;1;9787;98.23%
MK496521.1;2609;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2625;74.69%
MG865580.1;505;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0;1;0;0;1;0;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;6529;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;1;0;2;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;7227;97.86%
MK212930.1;8;20;14;22;10;16;17;25;11;13;104;28;3;7;21;34;9;12;30;179;10243;2925;23;24;21;109;14;9;13;18;14;10;37;9;17;20;17;9;18;20;10;5523;7;24;14;16;14;189;11;18;16;126;14;14;45;12;14;6;20;10;8;2;94;19;10;15;89;15;12;22;14;15;85970;20;9;92;17;19;25;22;18;9;320;10;23161;8;19;22;18;8;12;15;26;8;12;4060;12;169;151;13;23;16;47;11;4;4;6;18;12;9;16;13;104;11;5807;12;6;12;21;3;17878;13;207;2;11;22;23;15;10;15;15;17;19;22;2204;12;37;314;342;24;26;13;22;338;14;14;15;13;2121;21;25;25;7219;13;24;7;12;18;12;13;9;10;22;34;106;6;4;18;15;18;12;21;15;392;20;26;165;11;14;15;25;16;22;23;1112;11;17;5;15;22;181;21;174541;21.31%
GU189413.1;2;1;6;6;2;2;5;4;2;6;4;18;3;2;10;678;3;3;8;1;1;765;4;0;12;107;4;6;6;320;5;5;1;2;1;2;367;3;0;3;2;568;354;11;0;4;0;15;3;1;8;4;8;6;1676;2;48;1;1;7;5;12;2434;471;3;6;2;726;7;11;2288;36;4;9;3328;0;2;3;1456;11;7;3;296;15;43;48;5;13;9;3;83;9;18;25;4;2;6;1;661;2;170;7;4;13;3;1;0;8;2;2;1;3;1;80;935;1;1;2;2;3;115;31;7;3;5;4;3;0;8;4;2;2;14;5;1675;1;8;1;1620;3;5;499;11;1620;5;4;22;0;734;6;1;3;2669;3;469;8;2;4;11;5;3;3;0;2546;2;2;4;9;849;3;820;219;1;737;5;1;1335;1;5;4;1;2;1062;8;2;3;7;2486;10;10;8;243;38388;22.27%
GQ919014.1;10;39;7;11;3;26;2;57;44;8;455;20;5;5;8;3601;12;4056;18;84176;46;62131;50;31;8;161;7;6;7;3835;13;8;2080;232;51;56435;52;3;30;3917;42;1000;42;10;37;37;20;21952;163;30;12;10283;13;13;18;6;27;9;30;7;3;799;36;15;29;4;15711;63;5;15;17;11708;12;6;4;500;45;32;12;12;52;22;441;150;723;34;24;9;6;7;152;8;14;17;8;413;15;3044;42;6;52;7;54;36;6;244;20;20;52212;18;21;54;1153;79;11549;40;19;4;20;4;150;162;42;1;5;34;49;33;16;6;7;43;59;9;1556;23;12;1738;57;65;17;21;7;11811;7;6;4194;32;43;39;42;4948;1413;2;990;19;32;10;3895;9;49;28;28;16476;59;5;5;15;8424;7;12567;10;7;34;10;64;47;27;11;22;13615;2356;97;9;61;5;15;5;12;13;23834;35;464800;82.09%
MG865528.1;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;11.0%
HQ643396.2;24;0;1;0;0;1;0;0;0;0;2;0;0;1;0;12;1;1;1;12;4;23;1;0;0;9;0;0;0;8;1;1;4;6;0;0;1;1;0;329;0;30;0;0;0;0;0;12;0;1;1;13;0;0;4;0;0;0;0;1;0;60;31;1;2;0;2;0;0;0;1;108;5;0;7;3;0;1;9;1;0;0;20;0;3;0;0;0;0;1;0;0;0;3;0;3;0;2;3;1;4;0;1;6;0;66;0;0;12;0;0;1;0;0;35;0;0;7;1;0;10;1;0;1;0;0;0;1;0;1;0;0;0;0;89;0;0;17;23;0;0;0;0;17;0;1;310;0;2;0;0;357;142;0;5;0;1;0;40;0;1;0;9;33;1;0;0;1;9;0;145;1;0;20;0;1;2;2;0;0;148;109;5;0;39;1;8;7;0;0;11;0;2477;98.13%
MK394004.1;26;147;45;56;37;145;34;215;150;24;58470;87;25;25;53;130;40;56040;90;37849;175;30;208;160;60;128799;38;25;18033;6018;52;35;38031;33;147;202;185;27;124;2738;133;14527;22;70;187;130406;96307;48477;39;147;66;15902;50;41;30;44;155;55;139;42;22;71;8537;57;160;53;53313;100;37;57;65;81347;56;77;37208;51840;131;123;65;56;206;124;108;107;25831;6248;113;59;50;22;57003;45;102;111;13806;53559;29;72729;80330;32;71362;56;230;115;27;28;93;52;145;107;117;1289;760;18209;41;139;73;44;59;24;127;130;170;32;35;142;224;152;61;25;31;162;104;55;33;89;78;15294;18656;237;41;124;63;14887;29;24;151;102;100789;211;230;217;17107;14;134;35;134;55;21609;35;197;89916;87;9713;187;19;21;56;20746;44;52;63;45;38529;46;109108;62063;106;50;116;8124;143;114;54;150;31;56;38771;59;64;24089;127;1887380;99.61%
DQ665668.1;7;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;2;0;3;0;0;1;0;0;0;0;0;4;0;4;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;14;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;445;0;0;0;0;0;1;0;0;0;0;0;348;0;0;185;0;0;0;0;0;9;0;0;338;9;0;13;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;3;236;0;0;1;0;0;1;0;3;0;1;1;1;0;0;0;0;1;1;0;3;0;0;29;0;0;0;1;0;1;0;0;3;1;0;0;0;142;0;2;0;0;0;0;191;2;0;0;0;9;11;0;0;0;0;0;0;0;0;0;3;2052;98.88%
